,gaps,mutualinformation,mutualinformation_std,shuffledmutualinformation
0,0,0.012901957939043699,8.600024779539911e-05,0.0011920528350845686
1,1,0.008291370434131131,7.09785944039273e-05,0.0011869302957313401
2,2,0.009609958795411135,0.00012840235069695155,0.0012304733620460263
3,3,0.008792198128065209,0.00010801150531053954,0.001217226685107449
4,4,0.005195589693863451,6.0363054886765825e-05,0.001200893893592868
5,5,0.005529954492696521,9.311616174067884e-05,0.001204799062379144
6,6,0.006452459516776651,0.00010949644379404411,0.00119795337435553
7,7,0.004427441879854339,6.653978980623123e-05,0.001219569164420313
8,8,0.00492336131494928,9.92134278976539e-05,0.0012162173660704794
9,9,0.0048860687381314,7.950107415916181e-05,0.0012189505874788751
10,10,0.004579726469852871,6.254586168979964e-05,0.0012006824625061486
11,11,0.004533342881343959,8.169034993736114e-05,0.0011983407370161285
12,12,0.0041094219544736766,5.897508341829928e-05,0.001235853855949973
13,13,0.004474718211781274,5.564397389496389e-05,0.0011708064341755737
14,14,0.004513654252113387,9.448407777386265e-05,0.0011966624147662411
15,15,0.0037252845917147685,4.651605525557959e-05,0.001208539158023986
16,16,0.0033888723589969804,5.2125587104514486e-05,0.0011945987707621896
17,17,0.0039336501349157066,8.42934875973528e-05,0.0011925892895436132
18,18,0.0038150063482312946,4.9261669414525664e-05,0.0011497052745844249
19,19,0.0036990901225807246,7.021838262103296e-05,0.0011861007865389332
20,20,0.004160043151647195,8.37717625985963e-05,0.0011833513398094755
21,21,0.0032856234608180583,4.039835591486908e-05,0.0011945268809257271
22,22,0.003120543008027022,5.100703575340906e-05,0.0011958757014307974
23,23,0.0039034228661766466,8.16329356375061e-05,0.0011908736634291082
24,24,0.0037080187769609812,7.95453439739866e-05,0.0011887422874010524
25,25,0.0032121885085919233,5.0030679059769793e-05,0.0011718259897296453
26,26,0.002933143209018833,7.634129480928002e-05,0.0011666929724692193
27,27,0.006490818247205699,0.00018102254192970142,0.001164093013585472
28,28,0.0028414013916450544,6.575388654080219e-05,0.001213077361815808
29,29,0.003430202352289354,7.393980294099424e-05,0.0011692716678104503
30,30,0.0034140277816900426,6.863622453118599e-05,0.001172206166096077
31,31,0.0033702296102757477,4.163696278277094e-05,0.0011853172164736215
32,32,0.0030656248438744875,6.45911218999475e-05,0.0011850215044416916
33,33,0.0031506280218645405,5.2773804561348125e-05,0.0011613345300325166
34,34,0.0030578629243459953,6.512055004662259e-05,0.0011721293512705682
35,35,0.003047301872015548,7.769772604278543e-05,0.001144009353797394
36,36,0.003002953449918851,5.533189871111604e-05,0.0011476348405727436
37,37,0.003003228200977002,4.556418091320103e-05,0.0012052320738495917
38,38,0.002827935235737911,5.275060920273774e-05,0.0011653738249843351
39,39,0.0029875355995790088,6.407289936608381e-05,0.0011612044628425669
40,40,0.0028121800708783055,4.6880147704438346e-05,0.0011527406440378217
41,41,0.0030960704809237377,7.207678592498688e-05,0.0011507749848380152
42,42,0.0027404079629913857,4.626168625850377e-05,0.0011514273297299424
43,43,0.0027310045630884756,4.495678933970222e-05,0.0011279748952606982
44,44,0.00264982953085738,5.809593937004556e-05,0.0011588166895308712
45,45,0.0026266805350562777,5.066216486789418e-05,0.0011840197645079582
46,46,0.0026480257740898205,4.795442688461596e-05,0.001144440047741326
47,47,0.002605708817392138,4.710389228350936e-05,0.0011535168563675015
48,48,0.002632202151978943,4.686000841490896e-05,0.0011317949288054557
49,49,0.0027786585742741567,5.8200376738135065e-05,0.0011586863651315328
50,50,0.0025130241431950803,5.275264521636456e-05,0.0011675990536149
51,51,0.002740430331485797,5.090935916618716e-05,0.0011402849967964547
52,52,0.0027033308241067064,5.7239374249862903e-05,0.0011354582720685417
53,53,0.0026627432481713645,5.5493795775806936e-05,0.001119001453486226
