,gaps,mutualinformation,mutualinformation_std,shuffledmutualinformation
0,0,0.013787920013290862,9.22503450799022e-05,0.0005586239470226462
1,1,0.00982538233022391,0.00011534271709884011,0.0005822863086854495
2,2,0.01069157880212005,0.00012603414146920554,0.000538527084886499
3,3,0.009723695538905352,0.00011237980077663875,0.0005211252249763627
4,4,0.0060292658022863994,7.46272856015764e-05,0.0005363606952434663
5,5,0.006405973315054934,0.0001318197270715796,0.000542820634498165
6,6,0.007304080242457411,9.18656063595028e-05,0.0005205084699041171
7,7,0.005057100784363988,8.054992276182103e-05,0.0005185753692551976
8,8,0.0056256722079359445,0.00012021744582512591,0.0005422327480886952
9,9,0.005293700308595694,0.00010368238064015849,0.0005492538804671182
10,10,0.005153496765887153,5.558557827306582e-05,0.0005274899254160594
11,11,0.005236816765198938,9.555815942448497e-05,0.000539748765034979
12,12,0.004794741740711825,7.637124899652066e-05,0.0005315459110552984
13,13,0.004918703456857174,4.2179563132028866e-05,0.0005419052387907741
14,14,0.005074621734069266,9.210076663656538e-05,0.0005778275706100082
15,15,0.004303242558300717,6.181373911976677e-05,0.0005337376738604256
16,16,0.003989170573281396,6.441233032839331e-05,0.0005224917331771021
17,17,0.004515223881853225,9.793205947166287e-05,0.0005318536861995398
18,18,0.00430188512445354,6.578172385647381e-05,0.0004887061223543831
19,19,0.003965394096399689,8.74457253639213e-05,0.0005481268512828263
20,20,0.004752355457182855,7.708979208212365e-05,0.0005189852407061624
21,21,0.003832550448081563,6.385724463847217e-05,0.0005247304027923362
22,22,0.00364872152228577,7.2916224674503e-05,0.0005284428798184027
23,23,0.004520164196187117,7.957229410838212e-05,0.0005736050831262364
24,24,0.004239092567695109,9.039736192334682e-05,0.0004890241735149289
25,25,0.0035687734132367186,5.868793462203455e-05,0.0005404836266004423
26,26,0.0033840717759572848,5.5955625504941e-05,0.0005146153822613271
27,27,0.008048689496245163,0.00019508383386138064,0.000565182441893407
28,28,0.0031126914096308313,5.572376603400483e-05,0.00056239257233848
29,29,0.0038193415572241158,8.919382097866573e-05,0.0005819854609454187
30,30,0.0037881760832324768,9.601394343313099e-05,0.0005326679733075229
31,31,0.0037712587960418847,9.370866245909855e-05,0.0005382782738120783
32,32,0.003376479714820249,7.076831045014844e-05,0.0005669916319832529
33,33,0.003408747566090257,5.7640970249789776e-05,0.0005363424697409225
34,34,0.003510514915769042,7.005386570348435e-05,0.0005615249474203438
35,35,0.003180398969259707,8.26078095864144e-05,0.000553207516465708
36,36,0.0033600886639183663,7.813879362784233e-05,0.0005224790388972963
37,37,0.0031992191398461777,6.485419784024805e-05,0.0005446568559577887
38,38,0.0031635402780677037,6.152349433101296e-05,0.0005097047668777752
39,39,0.003338412719211313,8.519980275121525e-05,0.0005260514116961875
40,40,0.003233706282009837,6.693512251643586e-05,0.0004919762597477042
41,41,0.0033983750114323858,8.797972867535956e-05,0.0005508401719470924
42,42,0.003146778102906647,4.030122518701542e-05,0.0005639455453938003
43,43,0.003020260782700944,5.645739826430206e-05,0.0005633834047200324
44,44,0.0029938202681943724,8.400219856953702e-05,0.0005120049967823701
45,45,0.0029947963322067817,6.724116746681474e-05,0.00048016780713148533
46,46,0.0030593096691703863,7.845066480273091e-05,0.00047995238225780783
47,47,0.0029334827516988796,7.177421813948783e-05,0.0005349743538006951
48,48,0.003032375457091458,5.6395175940770163e-05,0.0005164437250001774
49,49,0.0030352182343479535,6.924725923896012e-05,0.0005039589293441892
50,50,0.0027215739625820736,6.736808340366719e-05,0.0005038531249931128
51,51,0.0030097605480533213,7.11708079494356e-05,0.00046710229204156004
52,52,0.0031649153677656273,4.658383706845374e-05,0.0005441645222252327
53,53,0.002884305807082323,7.058187583901996e-05,0.0005249481897869413
54,54,0.002385094444753042,5.581375360217576e-05,0.0004974576957669787
55,55,0.006392429564663881,0.00018433189233571905,0.0005764782328667933
56,56,0.00242097426292411,6.520696753110416e-05,0.0005380323227606255
57,57,0.0024713036213867435,7.18316052499693e-05,0.0005398053142884795
58,58,0.003074065728341877,7.430494817783896e-05,0.00048070650345095217
59,59,0.0031776335395765714,0.00010781285406350902,0.0005013385845185864
60,60,0.002403236729467484,4.7759898476985474e-05,0.0005316758371481309
61,61,0.0026217964792955083,3.874423791118422e-05,0.00046646574550623997
62,62,0.002895218005214906,8.671263918064967e-05,0.0005080933023337677
63,63,0.002356965618748892,4.29358780925958e-05,0.0005212569421731029
64,64,0.002621358029843169,5.426867978056077e-05,0.00048801523794917014
65,65,0.0026443627406106357,7.768319997305231e-05,0.00050203642816061
66,66,0.002404503579196957,5.289056622695207e-05,0.0004990195462996712
67,67,0.0023179799844358358,5.787064860113681e-05,0.0005206751346916202
68,68,0.0027686926678290808,7.253477335215844e-05,0.0005085801520301731
69,69,0.0023451913896079786,4.114313534581936e-05,0.0005040931413636928
70,70,0.0025103457005608417,5.665728202624548e-05,0.0004899892634064511
71,71,0.002690670030323785,8.030936297672239e-05,0.0005732366657789336
72,72,0.002237216429549814,5.7901274648354684e-05,0.0005349010229351614
73,73,0.00237578254914793,4.757542515750468e-05,0.000495098658778878
74,74,0.0027431180909468123,8.079794644530877e-05,0.0005473624637876979
75,75,0.002195841355489316,3.081225861262999e-05,0.00046305209937361544
76,76,0.0025719753674854047,6.927799599899906e-05,0.0005444893624699864
77,77,0.002483629221355835,6.73620376368355e-05,0.0005163201779454363
78,78,0.0021453353437210715,5.082761546338568e-05,0.000475922510556079
79,79,0.002627636957967047,7.32169194224981e-05,0.0004720059600180957
80,80,0.002632592754725664,5.7371377120731226e-05,0.00048442465856103997
81,81,0.00214452877427984,6.15595137786707e-05,0.0005043679866358043
82,82,0.0019547672808571254,4.785583636417575e-05,0.0005388229621026902
83,83,0.005608679002823905,0.00021817680531773962,0.0005216556262322699
84,84,0.0020095838017988024,5.045986158588876e-05,0.0005556748481419407
85,85,0.002077654517046236,5.624129037911978e-05,0.00048215111697569416
86,86,0.002523349770867611,5.364647584166227e-05,0.0004947849888462831
87,87,0.002449390481065997,5.9090327474770295e-05,0.00047663527291803983
88,88,0.002056482492000099,5.3627620783780304e-05,0.0005244889209978216
89,89,0.002409519584837619,8.028662411412428e-05,0.0004978169190133555
90,90,0.0022866919317434003,6.56635595649746e-05,0.00048620619797151184
91,91,0.0019918482698851577,6.409796211213035e-05,0.0005269562145988701
92,92,0.002337371150169249,5.8596654695247e-05,0.0005321815667122714
93,93,0.002058443425194467,7.151550594500878e-05,0.0005367404270081319
