,source,value
0,background,1.61
1,background,268.0
2,background,5.24
3,background,0.91
4,background,18.3
5,background,0.52
6,background,0.126
7,background,0.974
8,background,0.941
9,background,1.33
10,background,4.06
11,background,5.04
12,background,2.86
13,background,3.31
14,background,288.0
15,background,18.7
16,background,66.7
17,background,24.4
18,background,0.977
19,background,139.0
20,background,0.916
21,background,0.086
22,background,102.0
23,background,4485.0
24,background,1.06
25,background,1.64
26,background,0.969
27,background,2.76
28,background,179.0
29,background,2.06
30,background,0.825
31,background,1.91
32,background,24.9
33,background,3.08
34,background,0.735
35,background,283.0
36,background,43.6
37,background,8.15
38,background,0.635
39,background,90.6
40,background,4.18
41,background,267.0
42,background,2.21
43,background,0.816
44,background,0.469
45,background,0.391
46,background,0.722
47,background,0.44
48,background,0.224
49,background,2.34
50,background,0.819
51,background,0.821
52,background,0.4
53,background,219.0
54,background,489.0
55,background,0.89
56,background,157.0
57,background,180.0
58,background,0.66
59,background,125.0
60,background,2.12
61,background,181.0
62,background,146.0
63,background,0.561
64,background,123.0
65,background,367.0
66,background,0.987
67,background,18.1
68,background,4.94
69,background,0.501
70,background,0.703
71,background,14.0
72,background,1.97
73,background,26.9
74,background,0.705
75,background,2.34
76,background,1.97
77,background,0.482
78,background,3.04
79,background,39.2
80,background,278.0
81,background,0.399
82,background,1.05
83,background,0.557
84,background,25.3
85,background,0.181
86,background,0.659
87,background,0.452
88,background,1.94
89,background,0.934
90,background,1.27
91,background,1.24
92,background,3.9
93,background,0.908
94,background,1.35
95,background,15.9
96,background,647.0
97,background,5.23
98,background,0.67
99,background,1088.0
100,background,3339.0
101,background,2.86
102,background,1.55
103,background,2.04
104,background,1.09
105,background,0.398
106,background,0.596
107,background,0.984
108,background,565.0
109,background,0.778
110,background,0.645
111,background,78.9
112,background,1.17
113,background,0.304
114,background,127.0
115,background,3.97
116,background,27.4
117,background,147.0
118,background,0.335
119,background,372.0
120,background,7.12
121,background,2061.0
122,background,23.8
123,background,3.65
124,background,192.0
125,background,2885.0
126,background,2.31
127,background,0.465
128,background,1.76
129,background,113.0
130,background,3.14
131,background,0.178
132,background,9.13
133,background,4.1
134,background,0.33
135,background,1.77
136,background,4.14
137,background,369.0
138,background,3.54
139,background,1.58
140,background,3.36
141,background,1.59
142,background,27.8
143,background,1501.0
144,background,0.371
145,background,3.94
146,background,109.0
147,background,0.558
148,background,0.283
149,background,0.748
150,background,118.0
151,background,0.395
152,background,1.45
153,background,0.112
154,background,79.6
155,background,2.26
156,background,57.6
157,background,714.0
158,background,934.0
159,background,2.45
160,background,155.0
161,background,8.53
162,background,0.458
163,background,1.18
164,background,40.8
165,background,0.581
166,background,0.753
167,background,1010.0
168,background,306.0
169,background,7.12
170,background,4.25
171,background,163.0
172,background,444.0
173,background,12.4
174,background,1.64
175,background,4.24
176,background,0.878
177,background,1.91
178,background,90.5
179,background,1.38
180,background,6.74
